name,descripcion,latitud,longitud,coordenadas,tipo,direccion,bd
 Centro Crecer Constitución ,,,,,OSC / ONG,"Art. 24 esquina con Art. 14 Col. Constitución,Aguascalientes, Aguascalientes",redes
 Casa Migrante Camino a la Vida ,,,,,OSC / ONG,"José Guadalupe Posada #828, (a un lado del Panteón de la Cruz) C.P 20050,Aguascalientes, Aguascalientes",redes
 SEMIGRANTE (Vista Hermosa) ,,,,,OSC / ONG,"Interior Antigua Escuela de Los Hermanos, Av. Juarez S/N, Col. Centro, C.P. 59200,Vista Hermosa, Michoacán",redes
 SEMIGRANTE (Villamar) ,,,,,OSC / ONG,"Interior Palacio Municipal S/N, Colonia Centro, C.P. 59550,Villamar, Michoacán",redes
 SEMIGRANTE (Venustiano Carranza) ,,,,,OSC / ONG,"Interior Palacio Municipal, Hidalgo No. 2, Col. Centro, C.P. 59160,Venustiano Carranza, Michoacán",redes
 SEMIGRANTE (Uruapan) ,,,,,OSC / ONG,"Av. Chiapas No. 93, Int. 201, Col. Ramon Farias, C.P. 60050,Uruapan, Michoacán",redes
 SEMIGRANTE (Tzitzio) ,,,,,OSC / ONG,"Interior Palacio Municipal, Calle Allende S/N, Col. Centro, C.P. 61330,Tzitzio, Michoacán",redes
 SEMIGRANTE (Tzintzuntzan) ,,,,,OSC / ONG,"Interior Palacio Municipal, Av. Yacatas No. 25, Col. Centro, Tzintzuntzan, Mich. C.P. 58440,Tzintzuntzan, Michoacán",redes
 SEMIGRANTE (Tuzantla) ,,,,,OSC / ONG,"Av. Sixto Verduzco No. 06, Col. Centro, C.P. 61540,Tuzantla, Michoacán",redes
 SEMIGRANTE (Tuxpan) ,,,,,OSC / ONG,"Interior Palacio Municipal, Av. Morelos No. 04, Col. Centro, C.P. 61420,Tuxpan, Michoacán",redes
 SEMIGRANTE (Turicato) ,,,,,OSC / ONG,"Interior Palacio Municipal, Portal Manuel Muñiz S/N, Colonia Centro, C.P. 61680,Turicato, Michoacán",redes
 SEMIGRANTE (Tumbiscatio) ,,,,,OSC / ONG,"Interior Presidencia Municipal, Kennedy No. 02, Col. Centro, C.P. 60900,Tumbiscatío, Michoacán",redes
 SEMIGRANTE (Tocumbo) ,,,,,OSC / ONG,"Portal Lazaro Cardenas No. 16, Colonia Centro, C.P. 59960,Tocumbo, Michoacán",redes
 SEMIGRANTE (Tlazazalca) ,,,,,OSC / ONG,"Interior Palacio Municipal S/N, Col. Centro, C.P. 58740,Tlazazalca, Michoacán",redes
 SEMIGRANTE (Tlalpujahua) ,,,,,OSC / ONG,"Interior Palacio Municipal, Portal Centenario No. 04, Colonia Centro, C.P. 61060,Tlalpujahua, Michoacán",redes
 SEMIGRANTE (Tiquicheo) ,,,,,OSC / ONG,"Guerrero S/N, Colonia Centro, C.P. 61370,Tiquicheo, Michoacán",redes
 SEMIGRANTE (Tinguindin) ,,,,,OSC / ONG,"Portal Hidalgo S/N, Colonia Centro, C.P. 59980,Tingüindín, Michoacán",redes
 SEMIGRANTE (Tingambato) ,,,,,OSC / ONG,"Interior Palacio Municipal, Portal Hidalgo S/N, Colonia Centro, C.P. 60290,Tingambato, Michoacán",redes
 SEMIGRANTE (Tepalcatepec) ,,,,,OSC / ONG,"Melchor Ocampo No. 145, Col. Centro, C.P. 60540,Tepalcatepec, Michoacán",redes
 SEMIGRANTE (Tarímbaro) ,,,,,OSC / ONG,"Interior Palacio Municipal, Hidalgo No. 11, Col. Centro, C.P. 58880,Tarímbaro, Michoacán",redes
 SEMIGRANTE (Taretan) ,,,,,OSC / ONG,"Portal Ocampo No. 01, Col. Centro, C.P. 61710,Taretan, Michoacán",redes
 SEMIGRANTE (Tanhuato) ,,,,,OSC / ONG,"Portal Hidalgo No. 19, Col. Centro, C.P. 59230,Tanhuato, Michoacán",redes
 SEMIGRANTE (Tangancícuaro) ,,,,,OSC / ONG,"Dr. Miguel Silva No. 105, Colonia Centro, 59750,Tangancícuaro, Michoacán",redes
 SEMIGRANTE (Tangamandapio) ,,,,,OSC / ONG,"Portal Hidalgo S/N, Colonia Centro, C.P. 59920,Tangamandapio, Michoacán",redes
 SEMIGRANTE (Tancítaro) ,,,,,OSC / ONG,"Interior Palacio Municipal, Lazaro Cardenas S/N, Col. Centro, C.P. 60460,Tancítaro, Michoacán",redes
 SEMIGRANTE (Tacámbaro) ,,,,,OSC / ONG,"Portal Marcos A. Jimenez S/N, Colonia Centro C.P. 61650,Tacámbaro, Michoacán",redes
 SEMIGRANTE (Susupuato) ,,,,,OSC / ONG,"Interior Palacio Municipal, Vicente Guerrero No. 06, Colonia Centro, C.P. 61590,Susupuato, Michoacán",redes
 SEMIGRANTE (Senguio) ,,,,,OSC / ONG,"Hidalgo No. 01, Col. Centro, C.P. 61290,Senguio, Michoacán",redes
 SEMIGRANTE (Santa Ana Maya) ,,,,,OSC / ONG,"Lazaro Cardenas Nte. S/N, Col. Centro, C.P. 58900,Santa Ana Maya, Michoacán",redes
 SEMIGRANTE (San Lucas) ,,,,,OSC / ONG,"Av. Servando Chavez No. 01, Col. Centro, C.P. 61980,San Lucas, Michoacán",redes
 SEMIGRANTE (Salvador Escalante) ,,,,,OSC / ONG,"Allende No. 56, Colonia Centro, C.P. 61800, Santa Clara,Salvador Escalante, Michoacán",redes
 SEMIGRANTE (Sahuayo) ,,,,,OSC / ONG,"Palacio Municipal, Boulevard Lazaro Cardenas, Esq. Constitucion S/N, Col. Centro, C.P. 59000,Sahuayo, Michoacán",redes
 SEMIGRANTE (Puruándiro) ,,,,,OSC / ONG,"Portal Hidalgo No. 70, Colonia Centro, C.P. 58502,Puruándiro, Michoacán",redes
 SEMIGRANTE (Purépero) ,,,,,OSC / ONG,"Interior Palacio Municipal, Alvaro Obregon S/N, Col. Centro, C.P. 58760,Purépero, Michoacán",redes
 SEMIGRANTE (Peribán) ,,,,,OSC / ONG,"Ocampo No. 01, Colonia Centro, C.P. 60440,Peribán, Michoacán",redes
 SEMIGRANTE (Penjamillo) ,,,,,OSC / ONG,"Morelos No. 07, Colonia Centro, C.P. 59470,Penjamillo, Michoacán",redes
 SEMIGRANTE (Pátzcuaro) ,,,,,OSC / ONG,"Portal Hidalgo No. 01, Col. Centro, C.P. 61600,Pátzcuaro, Michoacán",redes
